iter	Logloss
0	0.6652688078
1	0.6439567336
2	0.621597863
3	0.6019923502
4	0.5867487183
5	0.5752197421
6	0.5620470254
7	0.5520267978
8	0.5440976278
9	0.5329325175
10	0.5257683176
11	0.5170305842
12	0.5122745426
13	0.5076737857
14	0.5040476696
15	0.4962518113
16	0.4893965359
17	0.4841895835
18	0.4806147177
19	0.4750849178
20	0.4703789154
21	0.4644209168
22	0.4630764659
23	0.4612146768
24	0.4558179402
25	0.4500960834
26	0.448409439
27	0.4457720953
28	0.4452999526
29	0.4436309274
30	0.4405665058
31	0.4382098726
32	0.4367803089
33	0.4357953989
34	0.4339242639
35	0.4308778312
36	0.4288837198
37	0.4279430492
38	0.4267958809
39	0.4246344088
40	0.4228994672
41	0.4199766881
42	0.4161873478
43	0.4122557786
44	0.4100847228
45	0.4070989953
46	0.404516786
47	0.4040165826
48	0.4017349916
49	0.4016460005
50	0.4005027579
51	0.3979358317
52	0.3964287071
53	0.3951077651
54	0.391304203
55	0.3891962003
56	0.3889069732
57	0.3874440356
58	0.3866111255
59	0.3855581248
60	0.3852647747
61	0.3828518177
62	0.3811557211
63	0.3811046493
64	0.3789285011
65	0.3782665734
66	0.3779181077
67	0.3776975057
68	0.3763043925
69	0.3760690907
70	0.3750637393
71	0.3745171925
72	0.3717136754
73	0.369250461
74	0.3685542105
75	0.3670268356
76	0.3665332962
77	0.3655228182
78	0.3644835474
79	0.3634573229
80	0.3599166828
81	0.3578918094
82	0.3555813117
83	0.3551362378
84	0.3550191523
85	0.3541206034
86	0.3537631245
87	0.3537295223
88	0.3512855099
89	0.3507091696
90	0.3500114918
91	0.3489899992
92	0.3482533402
93	0.347010887
94	0.3459956737
95	0.345775742
96	0.3442301871
97	0.342675847
98	0.3415761422
99	0.3408846903
100	0.3397425921
101	0.3375418688
102	0.3369471825
103	0.3362779094
104	0.3347967054
105	0.3344889957
106	0.3337096696
107	0.3329123252
108	0.3323198604
109	0.332235911
110	0.3314284097
111	0.330031397
112	0.3287378469
113	0.3287373351
114	0.3277591482
115	0.3255618109
116	0.3254373307
117	0.3242291098
118	0.3234268454
119	0.3228385804
120	0.321112361
121	0.3204691951
122	0.3192163328
123	0.3181743608
124	0.31768773
125	0.3167418639
126	0.3151522733
127	0.3126747398
128	0.3110113128
129	0.3101256139
130	0.3072604322
131	0.305625577
132	0.3046426905
133	0.3040027398
134	0.3008813952
135	0.3005801341
136	0.2993956421
137	0.2969747339
138	0.2959944621
139	0.2955824122
140	0.2946658004
141	0.2920264327
142	0.2897480742
143	0.2888046229
144	0.2887894523
145	0.2886915687
146	0.2878619502
147	0.2862510069
148	0.285170213
149	0.2839278661
150	0.2829197634
151	0.2810764228
152	0.2795565189
153	0.2783099223
154	0.2779345786
155	0.2767908014
156	0.2752690886
157	0.2739326691
158	0.2726150215
159	0.2714971061
160	0.2714956614
161	0.2697015197
162	0.2681815781
163	0.2664465382
164	0.2650843945
165	0.2642262907
166	0.2629116292
167	0.261964941
168	0.2616461721
169	0.2608154534
170	0.2590191915
171	0.2578570296
172	0.2572834144
173	0.2572338908
174	0.2572329785
175	0.2564842995
176	0.2558469946
177	0.2553387766
178	0.2538977821
179	0.2524323331
180	0.2524042215
181	0.2498397801
182	0.248779001
183	0.2472978185
184	0.2467380744
185	0.2453485651
186	0.2450376565
187	0.2430999136
188	0.2430794214
189	0.2408273082
190	0.23952395
191	0.2388159697
192	0.2382528751
193	0.2379320676
194	0.2375441693
195	0.235939729
196	0.2335566642
197	0.2334892568
198	0.2327943395
199	0.2321180807
200	0.2317635348
201	0.2307750598
202	0.2307490769
203	0.2288574399
204	0.2275215908
205	0.2271098049
206	0.2267503358
207	0.224945085
208	0.2233220411
209	0.2225033949
210	0.2212363403
211	0.2200653034
212	0.2188633125
213	0.2179903228
214	0.2176056292
215	0.2171537598
216	0.21645937
217	0.2152064852
218	0.2148449268
219	0.2130886409
220	0.2115714406
221	0.2095783638
222	0.2091690748
223	0.2072117552
224	0.2058169284
225	0.2038340706
226	0.2024429409
227	0.2019701882
228	0.2013835282
229	0.2003142746
230	0.2001245629
231	0.1996917292
232	0.1993576333
233	0.1984485356
234	0.1975322946
235	0.196064527
236	0.1959917228
237	0.1949325441
238	0.1948419818
239	0.1941854321
240	0.1940632307
241	0.1935961234
242	0.1934458381
243	0.1925177759
244	0.191982103
245	0.1903370582
246	0.1892324842
247	0.1883075354
248	0.1876737723
249	0.18711534
250	0.1858423102
251	0.1856120205
252	0.1854691085
253	0.1850029198
254	0.184387851
255	0.18423721
256	0.182918184
257	0.1826249292
258	0.1814840623
259	0.1803324109
260	0.1794716594
261	0.1787979481
262	0.1786013204
263	0.1777625848
264	0.1773847909
265	0.1766036373
266	0.1754398764
267	0.1753840118
268	0.1743784293
269	0.1736365845
270	0.1729779727
271	0.1719857061
272	0.1716400857
273	0.170792657
274	0.1700574755
275	0.1687904857
276	0.1677563595
277	0.1667983216
278	0.166434832
279	0.1651086343
280	0.1643465665
281	0.163514078
282	0.1633476725
283	0.1629479649
284	0.1624095787
285	0.1616755891
286	0.160444282
287	0.1596368221
288	0.1594723464
289	0.1590114782
290	0.1585697873
291	0.1582007933
292	0.1576443394
293	0.1567707404
294	0.156042233
295	0.1554257808
296	0.1550602015
297	0.1541995085
298	0.1535847846
299	0.1530526692
300	0.1526914259
301	0.1523806922
302	0.1513041095
303	0.1508846434
304	0.1503964875
305	0.1497545296
306	0.1494422689
307	0.1488631652
308	0.1482873975
309	0.1477815382
310	0.1475994065
311	0.1471297512
312	0.1467091814
313	0.1460519156
314	0.1459191077
315	0.1452237387
316	0.1448020421
317	0.14410466
318	0.1436048135
319	0.1424631364
320	0.1422051497
321	0.1415946231
322	0.1410874286
323	0.14079059
324	0.1403516185
325	0.1399485097
326	0.1397635196
327	0.1395519878
328	0.1391761671
329	0.1388054121
330	0.1382309981
331	0.1373445453
332	0.1368211997
333	0.1358067067
334	0.1353218207
335	0.1346867682
336	0.1340240218
337	0.1330756491
338	0.1329299419
339	0.1326367252
340	0.131887632
341	0.1318737962
342	0.1315889457
343	0.1312774486
344	0.130940487
345	0.1303171627
346	0.129773312
347	0.1295659314
348	0.1293475902
349	0.1285063314
350	0.1284596317
351	0.1279487074
352	0.1275229304
353	0.127216814
354	0.1268999791
355	0.1265148169
356	0.1256248198
357	0.1250701734
358	0.1241247912
359	0.1238055693
360	0.1237184166
361	0.1233519195
362	0.1231621196
363	0.1225214696
364	0.1225096232
365	0.1217902751
366	0.1214053097
367	0.1212818647
368	0.1210318527
369	0.1208532638
370	0.1205273472
371	0.1200129927
372	0.11951935
373	0.1193075025
374	0.1191184976
375	0.1188457131
376	0.1181929703
377	0.1177282594
378	0.1172746399
379	0.1168043363
380	0.1163020162
381	0.1161932059
382	0.1156881771
383	0.115400376
384	0.1150129659
385	0.1147695456
386	0.1144324017
387	0.1141763537
388	0.1138650497
389	0.1135837552
390	0.1135517934
391	0.113048732
392	0.1128805459
393	0.1127383585
394	0.1121786241
395	0.1116684786
396	0.1109867683
397	0.1103844446
398	0.1099343553
399	0.1094523683
400	0.1091673562
401	0.1090378221
402	0.1086270042
403	0.1082502509
404	0.1076589122
405	0.107295582
406	0.1066535339
407	0.1063990968
408	0.1062529377
409	0.1060758192
410	0.105411208
411	0.1050278284
412	0.1049176612
413	0.1045643454
414	0.1042603392
415	0.1041575008
416	0.1041443393
417	0.1039079845
418	0.1035604722
419	0.1032014963
420	0.1029697336
421	0.1028711382
422	0.1027215232
423	0.1026341227
424	0.1019349139
425	0.1013936114
426	0.1012325715
427	0.1009438225
428	0.1007303388
429	0.1004096182
430	0.1001180505
431	0.1000937573
432	0.09990557688
433	0.09967230931
434	0.09937615615
435	0.09881962329
436	0.09862138231
437	0.0982669756
438	0.09809828305
439	0.0979380981
440	0.09755272676
441	0.09741402898
442	0.09708086421
443	0.09699690588
444	0.0967340987
445	0.0966075013
446	0.09631612855
447	0.09600538463
448	0.09577222884
449	0.09563242769
450	0.09532907343
451	0.09522941989
452	0.09503901013
453	0.09483588108
454	0.0945318056
455	0.0943461495
456	0.09402818687
457	0.09349452197
458	0.09343149128
459	0.09300798527
460	0.09247761391
461	0.0922833527
462	0.09204215288
463	0.09192851324
464	0.09178171892
465	0.0913702571
466	0.09093242753
467	0.09079065961
468	0.09030111057
469	0.09021088377
470	0.09000129245
471	0.08999207027
472	0.08977683644
473	0.08959233947
474	0.08943581915
475	0.0891486694
476	0.0888865858
477	0.08874650695
478	0.08857000115
479	0.08846419456
480	0.08831019482
481	0.08822940352
482	0.08790558579
483	0.08770120966
484	0.08749490014
485	0.08703088722
486	0.08689506984
487	0.0865567366
488	0.08612786179
489	0.08592414821
490	0.08584156587
491	0.08566844219
492	0.0856130187
493	0.08539217201
494	0.08498669769
495	0.08495070362
496	0.08481988824
497	0.08448998077
