iter	Passed	Remaining
0	205	163957
1	233	93332
2	276	73569
3	321	64011
4	363	57787
5	376	49851
6	409	46372
7	434	43051
8	447	39353
9	516	40822
10	546	39233
11	586	38521
12	607	36756
13	633	35546
14	651	34084
15	746	36560
16	797	36754
17	837	36391
18	882	36280
19	925	36096
20	961	35659
21	997	35262
22	1021	34504
23	1056	34175
24	1126	34927
25	1256	37409
26	1322	37848
27	1377	37978
28	1398	37168
29	1428	36652
30	1473	36555
31	1508	36206
32	1542	35856
33	1577	35537
34	1609	35169
35	1642	34866
36	1695	34971
37	1824	36581
38	1962	38293
39	2045	38859
40	2084	38596
41	2124	38343
42	2164	38103
43	2199	37788
44	2234	37486
45	2267	37169
46	2300	36852
47	2323	36397
48	2394	36691
49	2406	36091
50	2439	35822
51	2470	35532
52	2503	35287
53	2535	35028
54	2566	34766
55	2597	34513
56	2631	34303
57	2665	34102
58	2696	33866
59	2728	33657
60	2752	33342
61	2784	33147
62	2827	33073
63	2855	32835
64	2892	32707
65	2943	32740
66	2994	32763
67	3081	33173
68	3138	33252
69	3172	33087
70	3203	32892
71	3241	32772
72	3282	32685
73	3326	32630
74	3359	32479
75	3399	32382
76	3439	32297
77	3477	32190
78	3520	32133
79	3558	32024
80	3609	32036
81	3649	31956
82	3691	31889
83	3730	31800
84	3763	31656
85	3803	31579
86	3846	31520
87	3867	31288
88	3907	31213
89	3947	31143
90	3986	31060
91	4028	31003
92	4069	30940
93	4128	31006
94	4175	30990
95	4195	30764
96	4233	30684
97	4275	30624
98	4321	30599
99	4355	30489
100	4388	30372
101	4420	30252
102	4454	30140
103	4486	30022
104	4519	29913
105	4559	29849
106	4608	29845
107	4664	29885
108	4704	29824
109	4733	29690
110	4765	29578
111	4798	29478
112	4833	29388
113	4840	29130
114	4882	29081
115	4922	29022
116	4968	29002
117	5013	28974
118	5058	28947
119	5099	28898
120	5136	28824
121	5175	28763
122	5211	28683
123	5243	28587
124	5280	28513
125	5315	28432
126	5353	28366
127	5386	28280
128	5427	28232
129	5461	28145
130	5499	28086
131	5540	28040
132	5580	27984
133	5618	27924
134	5659	27879
135	5698	27824
136	5736	27759
137	5777	27715
138	5815	27654
139	5843	27549
140	5878	27474
141	5911	27390
142	5943	27306
143	5975	27223
144	5986	27044
145	6007	26911
146	6043	26848
147	6082	26794
148	6171	26965
149	6225	26979
150	6276	26977
151	6321	26951
152	6359	26893
153	6396	26832
154	6431	26764
155	6464	26685
156	6514	26678
157	6575	26719
158	6629	26726
159	6677	26710
160	6692	26560
161	6731	26509
162	6766	26442
163	6813	26422
164	6852	26372
165	6887	26305
166	6922	26240
167	6957	26173
168	6989	26095
169	7023	26029
170	7059	25967
171	7090	25888
172	7123	25818
173	7146	25710
174	7157	25563
175	7192	25501
176	7243	25497
177	7290	25475
178	7338	25460
179	7380	25422
180	7401	25310
181	7443	25276
182	7486	25241
183	7524	25192
184	7565	25151
185	7607	25111
186	7650	25079
187	7698	25060
188	7740	25022
189	7782	24985
190	7823	24946
191	7869	24920
192	7910	24878
193	7947	24826
194	7988	24783
195	8036	24764
196	8078	24728
197	8127	24712
198	8201	24768
199	8269	24808
200	8312	24771
201	8353	24729
202	8388	24669
203	8426	24619
204	8458	24551
205	8494	24494
206	8530	24438
207	8563	24372
208	8594	24303
209	8627	24239
210	8663	24183
211	8696	24120
212	8728	24053
213	8760	23989
214	8792	23922
215	8825	23861
216	8860	23804
217	8894	23746
218	8925	23678
219	8957	23615
220	8988	23550
221	9024	23497
222	9055	23431
223	9088	23371
224	9118	23302
225	9151	23242
226	9186	23189
227	9230	23155
228	9263	23097
229	9298	23045
230	9333	22990
231	9369	22938
232	9404	22886
233	9439	22831
234	9470	22769
235	9503	22711
236	9536	22653
237	9571	22600
238	9604	22543
239	9636	22484
240	9667	22424
241	9700	22367
242	9733	22311
243	9766	22254
244	9797	22193
245	9830	22139
246	9862	22081
247	9895	22024
248	9926	21964
249	9956	21905
250	9988	21846
251	10018	21786
252	10052	21733
253	10083	21675
254	10114	21616
255	10146	21561
256	10178	21504
257	10211	21451
258	10247	21403
259	10278	21347
260	10310	21292
261	10347	21247
262	10381	21198
263	10414	21145
264	10446	21090
265	10484	21047
266	10514	20989
267	10547	20937
268	10579	20883
269	10611	20829
270	10643	20777
271	10677	20727
272	10710	20675
273	10744	20626
274	10776	20572
275	10809	20522
276	10841	20468
277	10873	20417
278	10906	20366
279	10937	20311
280	10968	20257
281	10999	20204
282	11032	20155
283	11087	20145
284	11128	20108
285	11164	20064
286	11195	20010
287	11227	19960
288	11260	19909
289	11293	19861
290	11327	19812
291	11358	19760
292	11390	19710
293	11425	19665
294	11462	19622
295	11497	19576
296	11548	19557
297	11581	19510
298	11615	19462
299	11649	19415
300	11687	19374
301	11723	19331
302	11757	19285
303	11791	19238
304	11823	19189
305	11857	19142
306	11891	19096
307	11929	19055
308	11962	19007
309	11995	18959
310	12026	18909
311	12059	18862
312	12094	18817
313	12126	18768
314	12159	18721
315	12193	18676
316	12225	18628
317	12258	18579
318	12291	18534
319	12324	18486
320	12356	18438
321	12387	18389
322	12419	18341
323	12454	18297
324	12487	18250
325	12521	18206
326	12554	18159
327	12586	18112
328	12621	18069
329	12653	18021
330	12685	17974
331	12722	17933
332	12755	17888
333	12791	17847
334	12823	17799
335	12858	17756
336	12891	17711
337	12926	17668
338	12958	17621
339	12990	17575
340	13023	17530
341	13056	17485
342	13089	17440
343	13120	17392
344	13152	17346
345	13184	17300
346	13217	17254
347	13249	17208
348	13287	17171
349	13322	17128
350	13381	17117
351	13414	17072
352	13447	17029
353	13486	16991
354	13519	16946
355	13550	16900
356	13582	16853
357	13617	16812
358	13648	16765
359	13680	16720
360	13715	16678
361	13746	16632
362	13781	16590
363	13816	16548
364	13848	16504
365	13880	16458
366	13913	16415
367	13946	16372
368	13981	16330
369	14015	16288
370	14047	16243
371	14080	16200
372	14114	16158
373	14148	16116
374	14179	16070
375	14211	16026
376	14248	15986
377	14281	15943
378	14316	15902
379	14350	15860
380	14382	15817
381	14414	15773
382	14448	15730
383	14484	15691
384	14515	15646
385	14551	15606
386	14583	15563
387	14617	15521
388	14648	15476
389	14685	15438
390	14718	15395
391	14749	15351
392	14782	15308
393	14818	15269
394	14850	15226
395	14886	15187
396	14918	15144
397	14952	15102
398	14988	15063
399	15021	15021
400	15053	14978
401	15086	14936
402	15119	14894
403	15151	14851
404	15182	14808
405	15215	14765
406	15246	14721
407	15280	14681
408	15320	14646
409	15352	14603
410	15388	14565
411	15422	14524
412	15454	14481
413	15487	14439
414	15518	14396
415	15554	14357
416	15585	14315
417	15618	14273
418	15653	14233
419	15687	14193
420	15720	14152
421	15754	14112
422	15786	14070
423	15822	14030
424	15856	13990
425	15888	13949
426	15921	13907
427	15954	13867
428	15987	13826
429	16019	13784
430	16051	13742
431	16085	13702
432	16116	13660
433	16148	13618
434	16182	13578
435	16214	13537
436	16248	13496
437	16283	13457
438	16319	13419
439	16358	13383
440	16390	13343
441	16422	13301
442	16455	13260
443	16494	13224
444	16527	13184
445	16560	13144
446	16594	13104
447	16638	13072
448	16682	13041
449	16726	13009
450	16769	12976
451	16810	12942
452	16852	12909
453	16892	12873
454	16929	12837
455	16974	12805
456	17016	12772
457	17061	12740
458	17101	12705
459	17138	12667
460	17172	12628
461	17209	12590
462	17250	12556
463	17292	12522
464	17333	12487
465	17372	12451
466	17406	12412
467	17440	12372
468	17478	12335
469	17512	12295
470	17544	12254
471	17577	12214
472	17611	12175
473	17648	12137
474	17683	12099
475	17716	12059
476	17748	12018
477	17797	11989
478	17832	11950
479	17866	11911
480	17900	11871
481	17931	11830
482	17961	11788
483	17996	11750
484	18033	11712
485	18073	11677
486	18107	11638
487	18141	11598
488	18172	11557
489	18204	11516
490	18239	11478
491	18271	11438
492	18305	11398
493	18338	11359
494	18388	11330
495	18419	11289
496	18455	11251
497	18491	11213
498	18524	11174
499	18558	11135
500	18592	11096
501	18626	11056
502	18658	11017
503	18691	10977
504	18723	10937
505	18755	10897
506	18790	10859
507	18828	10822
508	18861	10783
509	18898	10745
510	18930	10706
511	18964	10667
512	18997	10628
513	19031	10589
514	19063	10549
515	19097	10510
516	19128	10470
517	19161	10431
518	19192	10391
519	19225	10352
520	19259	10313
521	19309	10283
522	19362	10255
523	19408	10222
524	19443	10184
525	19474	10144
526	19505	10104
527	19539	10065
528	19573	10027
529	19606	9988
530	19641	9950
531	19676	9912
532	19707	9872
533	19739	9832
534	19770	9793
535	19804	9754
536	19840	9717
537	19878	9680
538	19910	9641
539	19942	9601
540	19974	9562
541	20024	9531
542	20079	9503
543	20123	9469
544	20154	9430
545	20187	9391
546	20218	9351
547	20250	9312
548	20283	9273
549	20318	9235
550	20349	9195
551	20380	9156
552	20414	9118
553	20447	9079
554	20479	9040
555	20514	9002
556	20546	8963
557	20579	8925
558	20611	8886
559	20643	8847
560	20674	8808
561	20707	8769
562	20740	8730
563	20772	8692
564	20806	8654
565	20839	8615
566	20871	8576
567	20902	8537
568	20934	8499
569	20964	8459
570	20994	8419
571	21024	8380
572	21059	8342
573	21089	8303
574	21120	8264
575	21151	8225
576	21182	8186
577	21214	8148
578	21245	8109
579	21281	8072
580	21316	8034
581	21348	7996
582	21384	7959
583	21416	7921
584	21478	7893
585	21533	7863
586	21570	7827
587	21602	7788
588	21634	7750
589	21667	7712
590	21698	7673
591	21728	7634
592	21758	7595
593	21791	7557
594	21823	7518
595	21854	7480
596	21887	7442
597	21921	7404
598	21954	7367
599	21986	7328
600	22020	7291
601	22052	7253
602	22085	7215
603	22119	7177
604	22149	7139
605	22179	7100
606	22208	7061
607	22240	7023
608	22275	6986
609	22306	6947
610	22338	6909
611	22367	6871
612	22397	6832
613	22430	6795
614	22462	6756
615	22494	6719
616	22527	6681
617	22561	6644
618	22594	6606
619	22625	6568
620	22658	6531
621	22687	6492
622	22718	6454
623	22747	6416
624	22782	6379
625	22814	6341
626	22843	6303
627	22875	6265
628	22907	6227
629	22939	6190
630	22971	6152
631	23002	6114
632	23033	6076
633	23065	6039
634	23097	6001
635	23128	5963
636	23158	5925
637	23189	5888
638	23221	5850
639	23251	5812
640	23282	5775
