iter	Passed	Remaining
0	180	143954
1	203	81368
2	242	64430
3	288	57459
4	336	53553
5	354	46885
6	393	44580
7	420	41640
8	431	37963
9	462	36510
10	482	34606
11	512	33634
12	527	31932
13	547	30718
14	562	29456
15	592	29024
16	621	28604
17	650	28281
18	680	27973
19	708	27643
20	738	27383
21	766	27104
22	786	26562
23	815	26357
24	843	26159
25	873	26012
26	894	25594
27	921	25412
28	936	24910
29	956	24544
30	984	24430
31	1013	24314
32	1041	24210
33	1069	24089
34	1097	23990
35	1126	23911
36	1155	23824
37	1183	23732
38	1212	23662
39	1241	23581
40	1268	23490
41	1299	23448
42	1327	23370
43	1356	23308
44	1384	23230
45	1414	23180
46	1442	23113
47	1462	22914
48	1490	22847
49	1504	22571
50	1533	22526
51	1562	22479
52	1591	22438
53	1620	22381
54	1648	22332
55	1677	22287
56	1706	22240
57	1735	22205
58	1763	22148
59	1792	22104
60	1811	21949
61	1840	21908
62	1868	21860
63	1892	21763
64	1921	21728
65	1950	21691
66	1974	21605
67	2004	21573
68	2033	21538
69	2060	21492
70	2089	21458
71	2118	21418
72	2147	21382
73	2176	21350
74	2200	21271
75	2229	21235
76	2257	21200
77	2287	21170
78	2315	21132
79	2343	21091
80	2372	21060
81	2400	21023
82	2429	20988
83	2457	20950
84	2483	20889
85	2511	20855
86	2539	20814
87	2554	20670
88	2582	20633
89	2611	20600
90	2640	20569
91	2667	20525
92	2695	20490
93	2723	20457
94	2752	20423
95	2767	20293
96	2795	20263
97	2824	20233
98	2852	20199
99	2880	20165
100	2909	20138
101	2938	20111
102	2967	20082
103	2996	20050
104	3024	20021
105	3053	19991
106	3081	19955
107	3109	19926
108	3139	19901
109	3163	19841
110	3191	19807
111	3219	19779
112	3249	19756
113	3256	19595
114	3285	19567
115	3313	19539
116	3340	19502
117	3369	19476
118	3398	19450
119	3427	19421
120	3456	19395
121	3484	19364
122	3512	19335
123	3541	19305
124	3569	19275
125	3598	19247
126	3626	19218
127	3654	19185
128	3683	19157
129	3712	19131
130	3740	19101
131	3768	19069
132	3796	19039
133	3825	19014
134	3853	18983
135	3881	18949
136	3909	18919
137	3937	18890
138	3965	18857
139	3988	18804
140	4017	18777
141	4046	18751
142	4076	18729
143	4105	18702
144	4115	18592
145	4135	18526
146	4164	18499
147	4193	18473
148	4222	18447
149	4251	18421
150	4282	18406
151	4311	18380
152	4340	18354
153	4369	18329
154	4398	18302
155	4426	18273
156	4455	18245
157	4484	18220
158	4512	18193
159	4542	18168
160	4553	18071
161	4581	18044
162	4610	18019
163	4638	17988
164	4668	17966
165	4697	17939
166	4725	17912
167	4755	17888
168	4783	17859
169	4812	17834
170	4842	17813
171	4871	17785
172	4899	17757
173	4919	17697
174	4930	17608
175	4957	17577
176	4986	17551
177	5014	17523
178	5044	17499
179	5071	17469
180	5087	17397
181	5115	17369
182	5144	17344
183	5172	17315
184	5200	17289
185	5229	17264
186	5259	17242
187	5288	17217
188	5316	17187
189	5344	17157
190	5373	17132
191	5400	17102
192	5429	17074
193	5456	17045
194	5485	17017
195	5513	16990
196	5542	16966
197	5570	16935
198	5598	16908
199	5627	16882
200	5655	16854
201	5683	16826
202	5712	16799
203	5741	16773
204	5770	16748
205	5799	16722
206	5827	16694
207	5855	16666
208	5884	16639
209	5913	16612
210	5941	16586
211	5970	16559
212	5999	16534
213	6027	16504
214	6055	16476
215	6083	16446
216	6111	16418
217	6140	16393
218	6168	16364
219	6196	16335
220	6224	16308
221	6253	16281
222	6280	16251
223	6309	16223
224	6337	16196
225	6366	16169
226	6394	16140
227	6423	16113
228	6451	16085
229	6478	16055
230	6506	16027
231	6535	16000
232	6562	15970
233	6591	15942
234	6618	15913
235	6647	15885
236	6674	15854
237	6703	15828
238	6731	15801
239	6760	15775
240	6788	15746
241	6817	15720
242	6846	15693
243	6875	15667
244	6903	15638
245	6931	15610
246	6960	15582
247	6988	15555
248	7016	15526
249	7046	15501
250	7075	15475
251	7102	15446
252	7131	15418
253	7159	15391
254	7188	15364
255	7216	15335
256	7245	15309
257	7273	15280
258	7302	15254
259	7331	15227
260	7360	15199
261	7388	15171
262	7416	15143
263	7445	15115
264	7472	15086
265	7500	15057
266	7529	15030
267	7557	15002
268	7585	14974
269	7613	14945
270	7647	14927
271	7675	14898
272	7702	14869
273	7731	14841
274	7759	14813
275	7787	14785
276	7815	14756
277	7844	14729
278	7872	14701
279	7900	14671
280	7928	14644
281	7956	14615
282	7985	14587
283	8013	14559
284	8042	14532
285	8070	14505
286	8100	14478
287	8128	14449
288	8156	14422
289	8185	14395
290	8214	14367
291	8243	14341
292	8272	14314
293	8301	14286
294	8329	14258
295	8357	14230
296	8385	14201
297	8413	14172
298	8441	14144
299	8469	14116
300	8497	14087
301	8525	14058
302	8554	14032
303	8583	14004
304	8611	13976
305	8640	13949
306	8669	13922
307	8698	13895
308	8727	13868
309	8756	13840
310	8784	13811
311	8811	13782
312	8840	13755
313	8868	13726
314	8896	13697
315	8924	13669
316	8953	13641
317	8982	13615
318	9010	13585
319	9039	13559
320	9067	13531
321	9096	13503
322	9125	13476
323	9153	13448
324	9182	13420
325	9210	13392
326	9238	13363
327	9266	13334
328	9294	13306
329	9321	13276
330	9349	13248
331	9378	13219
332	9405	13190
333	9434	13163
334	9462	13134
335	9491	13106
336	9519	13078
337	9547	13050
338	9576	13023
339	9605	12995
340	9633	12967
341	9660	12937
342	9689	12909
343	9717	12881
344	9745	12853
345	9774	12825
346	9801	12796
347	9829	12767
348	9857	12738
349	9888	12713
350	9915	12683
351	9943	12654
352	9970	12625
353	9999	12598
354	10028	12570
355	10056	12541
356	10084	12514
357	10113	12486
358	10141	12458
359	10170	12430
360	10198	12401
361	10227	12374
362	10256	12347
363	10284	12318
364	10311	12289
365	10340	12261
366	10368	12233
367	10397	12205
368	10425	12177
369	10453	12148
370	10483	12122
371	10512	12094
372	10540	12066
373	10567	12037
374	10596	12008
375	10623	11980
376	10654	11954
377	10682	11925
378	10711	11898
379	10739	11870
380	10770	11844
381	10798	11816
382	10827	11788
383	10855	11760
384	10885	11733
385	10913	11705
386	10942	11677
387	10970	11649
388	10999	11621
389	11027	11593
390	11056	11565
391	11086	11538
392	11114	11510
393	11142	11482
394	11171	11454
395	11199	11425
396	11231	11400
397	11258	11372
398	11287	11343
399	11315	11315
400	11343	11287
401	11372	11259
402	11400	11231
403	11428	11202
404	11457	11174
405	11485	11145
406	11512	11116
407	11541	11089
408	11571	11062
409	11599	11033
410	11627	11005
